Date,Time,Vrms,Irms,Temp
15/09/2025,12:48:45 p. m.,224.19,107.63,0.65
15/09/2025,12:48:23 p. m.,223.76,107.61,0.65
15/09/2025,12:48:04 p. m.,226.46,108.49,0.65
15/09/2025,12:47:45 p. m.,224.52,108.06,0.65
15/09/2025,12:47:23 p. m.,225.07,109.24,0.65
15/09/2025,12:47:05 p. m.,227.62,109.41,0.64
15/09/2025,12:46:46 p. m.,223.92,108.36,0.65
15/09/2025,12:46:25 p. m.,223.17,107.75,0.65
15/09/2025,12:46:06 p. m.,225.06,108.76,0.64
15/09/2025,12:45:47 p. m.,225.07,108.27,0.65
15/09/2025,12:45:25 p. m.,223.67,108.79,0.65
15/09/2025,12:45:05 p. m.,224.78,109.54,0.64
15/09/2025,12:44:47 p. m.,224.13,109.88,0.64
15/09/2025,12:44:25 p. m.,225.72,110.26,0.64
15/09/2025,12:44:05 p. m.,225.58,109,0.64
15/09/2025,12:43:46 p. m.,224,109.97,0.64
15/09/2025,12:42:52 p. m.,225.19,109.44,0.64
15/09/2025,12:42:29 p. m.,225.51,110.96,0.64
15/09/2025,12:42:11 p. m.,226.16,110.21,0.64
15/09/2025,12:41:48 p. m.,224.09,110.92,0.64
15/09/2025,12:41:29 p. m.,225.16,110.64,0.64
15/09/2025,12:41:07 p. m.,224.2,111.44,0.64
15/09/2025,12:40:43 p. m.,223.93,110.22,0.64
15/09/2025,12:40:25 p. m.,225.64,110.3,0.64
15/09/2025,12:40:05 p. m.,224.46,110.19,0.64
15/09/2025,12:39:47 p. m.,225.55,111.59,0.64
15/09/2025,12:39:25 p. m.,224.01,110.88,0.64
15/09/2025,12:39:03 p. m.,224.86,111.71,0.64
15/09/2025,12:38:43 p. m.,225.85,111.41,0.64
15/09/2025,12:38:24 p. m.,223.88,110.95,0.64
15/09/2025,12:38:03 p. m.,223.63,110.4,0.64
15/09/2025,12:37:45 p. m.,224.71,111.31,0.64
15/09/2025,12:37:25 p. m.,224.94,111.02,0.64
15/09/2025,12:37:06 p. m.,223.75,113.84,0.64
15/09/2025,12:36:48 p. m.,222.9,108.91,0.64
15/09/2025,12:36:28 p. m.,225.31,30.06,0.7
15/09/2025,12:36:09 p. m.,224.62,29.41,0.7
15/09/2025,12:35:48 p. m.,225.6,30.02,0.7
15/09/2025,12:35:29 p. m.,222.9,34.07,0.69
15/09/2025,12:35:08 p. m.,224.34,29.96,0.7
15/09/2025,12:34:48 p. m.,225.35,30.37,0.7
15/09/2025,12:34:28 p. m.,224.06,29.46,0.7
15/09/2025,12:34:07 p. m.,223.97,29.81,0.7
15/09/2025,12:33:36 p. m.,222.8,30.44,0.7
15/09/2025,12:33:14 p. m.,223.45,28.76,0.7
15/09/2025,12:32:54 p. m.,223.25,29.54,0.7
15/09/2025,12:32:35 p. m.,224.15,30.05,0.7
15/09/2025,12:32:15 p. m.,222.9,29.27,0.7
15/09/2025,12:31:56 p. m.,224.06,30.1,0.7
15/09/2025,12:31:34 p. m.,224.23,30.11,0.7
15/09/2025,12:31:13 p. m.,224.69,30.46,0.7
15/09/2025,12:30:52 p. m.,223.08,29.42,0.7
15/09/2025,12:30:33 p. m.,224.43,29.61,0.7
15/09/2025,12:30:12 p. m.,224.46,29.18,0.7
15/09/2025,12:29:50 p. m.,224.22,29.73,0.7
15/09/2025,12:29:29 p. m.,225.54,33.6,0.7
15/09/2025,12:29:07 p. m.,224.97,29.77,0.7
15/09/2025,12:28:48 p. m.,224.09,29.26,0.7
15/09/2025,12:28:28 p. m.,224.57,29.69,0.7
15/09/2025,12:28:07 p. m.,225.21,30.4,0.7
15/09/2025,12:27:47 p. m.,224.21,29.58,0.7
15/09/2025,12:27:27 p. m.,222.69,29.45,0.7
15/09/2025,12:27:04 p. m.,222.43,29.71,0.7
15/09/2025,12:26:45 p. m.,224.36,30.57,0.7
15/09/2025,12:26:26 p. m.,224.41,29.68,0.7
15/09/2025,12:26:05 p. m.,223.5,29.51,0.7
15/09/2025,12:25:45 p. m.,224.22,31.3,0.7
15/09/2025,12:25:26 p. m.,223.84,30.37,0.7
15/09/2025,12:25:06 p. m.,225.15,31.44,0.7
15/09/2025,12:24:47 p. m.,225.43,29.69,0.7
15/09/2025,12:24:28 p. m.,224.91,29.61,0.7
15/09/2025,12:24:04 p. m.,225.3,29.71,0.7
15/09/2025,12:23:44 p. m.,225.69,35.29,0.69
15/09/2025,12:23:19 p. m.,225.11,31.12,0.7
15/09/2025,12:23:01 p. m.,225.03,30.25,0.7
15/09/2025,12:22:42 p. m.,224.3,28.85,0.7
15/09/2025,12:22:18 p. m.,225.27,30.26,0.7
15/09/2025,12:21:58 p. m.,224.82,30.6,0.7
15/09/2025,12:21:39 p. m.,226.4,30.32,0.7
15/09/2025,12:20:59 p. m.,226.03,30.32,0.7
